,establecimiento,Provincia,Sector,Ámbito,Matricula__12_total,Matricula__13y14_total,matricula_5to_6to,bajo,medio,alto,NSE,%_bajo,%_medio,%_alto,total_censados,isocioa_puntaje,tasa_no_respuesta
472,499200224528499,Córdoba,Privado,Urbano,36.0,,36.0,2.0,26.0,3.0,medio,0.06451612903225806,0.8387096774193549,0.0967741935483871,31.0,0.0010467847702400666,0.8611111111111112
473,500520012044305,Córdoba,Estatal,Urbano,34.0,,34.0,9.0,19.0,3.0,medio,0.2903225806451613,0.6129032258064516,0.0967741935483871,31.0,-0.3805517284939518,0.9117647058823529
474,500520012078705,Córdoba,Privado,Urbano,29.0,,29.0,0.0,13.0,15.0,alto,0.0,0.4642857142857143,0.5357142857142857,28.0,0.8145161578479981,0.9655172413793104
475,501970014164245,Córdoba,Privado,Urbano,42.0,,42.0,0.0,2.0,28.0,alto,0.0,0.06666666666666667,0.9333333333333333,30.0,1.4320413995169465,0.7142857142857143
476,502920092710250,Córdoba,Estatal,Urbano,51.0,28.0,79.0,3.0,32.0,4.0,medio,0.07692307692307693,0.8205128205128205,0.10256410256410256,39.0,-0.028124075078473122,0.4936708860759494
477,502970074406750,Córdoba,Estatal,Urbano,88.0,,88.0,13.0,60.0,5.0,medio,0.16666666666666666,0.7692307692307693,0.0641025641025641,78.0,-0.19802315811913482,0.8863636363636364
478,503250010519505,Córdoba,Privado,Urbano,79.0,74.0,153.0,0.0,43.0,23.0,medio,0.0,0.6515151515151515,0.3484848484848485,66.0,0.6518510706126466,0.43137254901960786
479,503250010527005,Córdoba,Privado,Urbano,27.0,,27.0,1.0,16.0,6.0,medio,0.043478260869565216,0.6956521739130435,0.2608695652173913,23.0,0.362490994631684,0.8518518518518519
480,503700102419050,Córdoba,Estatal,Urbano,45.0,,45.0,9.0,14.0,1.0,medio,0.375,0.5833333333333334,0.041666666666666664,24.0,-0.5891424257264117,0.5333333333333333
481,503700102492050,Córdoba,Estatal,Urbano,70.0,,70.0,17.0,34.0,1.0,medio,0.3269230769230769,0.6538461538461539,0.019230769230769232,52.0,-0.5544301282163017,0.7428571428571429
482,503700322506503,Córdoba,Estatal,Urbano,32.0,34.0,66.0,6.0,20.0,1.0,medio,0.2222222222222222,0.7407407407407407,0.037037037037037035,27.0,-0.4197810160105985,0.4090909090909091
