ID1,Provincia,Sector,Ámbito,_12,_13y14
101796009181938,Tucumán,Estatal,Rural,8,
101797023468918,Formosa,Estatal,Rural,2,
101797026231181,Buenos Aires,Estatal,Urbano,,
101970010300001,Catamarca,Estatal,Rural,37,
101970014450901,Córdoba,Estatal,Urbano,,
101970014471501,Córdoba,Estatal,Urbano,,
101970018540001,Corrientes,Estatal,Rural,,
101970018550301,Corrientes,Estatal,Rural,,
101970020600010,Ciudad de Buenos Aires,Privado,Urbano,,
101970022660001,Chaco,Estatal,Rural,,
101970022670301,Chaco,Estatal,Urbano,,
101970022680601,Chaco,Estatal,Urbano,14,
101970026780001,Chubut,Privado,Urbano,,
101970030900001,Entre Ríos,Estatal,Urbano,,
101970030910301,Entre Ríos,Estatal,Urbano,119,95
101970030930901,Entre Ríos,Estatal,Urbano,,
101970035020001,Formosa,Estatal,Rural,,
101970035030301,Formosa,Estatal,Urbano,16,
101970039140001,Jujuy,Estatal,Rural,,
101970047380001,La Rioja,Estatal,Rural,,
101970051500001,Mendoza,Privado,Urbano,,
101970051510301,Mendoza,Estatal,Urbano,86,
101970055620001,Misiones,Estatal,Rural,,
101970055630301,Misiones,Privado,Rural,55,
101970059740001,Neuquén,Privado,Urbano,,
101970061800010,Buenos Aires,Privado,Urbano,,
101970061903010,Buenos Aires,Estatal,Urbano,,
101970062109010,Buenos Aires,Estatal,Rural,,
101970062315010,Buenos Aires,Estatal,Urbano,,
101970062418010,Buenos Aires,Privado,Urbano,,
101970062521010,Buenos Aires,Estatal,Urbano,78,
101970062624010,Buenos Aires,Privado,Urbano,,
101970062727010,Buenos Aires,Estatal,Urbano,,
101970062933010,Buenos Aires,Estatal,Urbano,16,
101970063036010,Buenos Aires,Privado,Urbano,,
101970063139010,Buenos Aires,Privado,Urbano,,
101970063242010,Buenos Aires,Privado,Urbano,,
101970063448010,Buenos Aires,Privado,Urbano,,
101970063551010,Buenos Aires,Privado,Urbano,,
101970063654010,Buenos Aires,Estatal,Urbano,14,
101970063757010,Buenos Aires,Estatal,Urbano,,
101970063860001,Río Negro,Privado,Urbano,,
101970063870301,Río Negro,Estatal,Urbano,,
101970063963010,Buenos Aires,Privado,Rural,26,
101970064066010,Buenos Aires,Privado,Urbano,26,
101970064169010,Buenos Aires,Estatal,Urbano,,
101970067980001,Salta,Estatal,Rural,,
101970067990301,Salta,Estatal,Rural,,
101970072100001,San Juan,Estatal,Rural,,
101970076220001,San Luis,Estatal,Rural,17,
101970080340001,Santa Cruz,Estatal,Urbano,,
101970084460001,Santa Fe,Estatal,Urbano,,
101970084470301,Santa Fe,Estatal,Urbano,,
101970084480601,Santa Fe,Privado,Rural,20,
101970084490901,Santa Fe,Estatal,Urbano,,
101970088580001,Santiago del Estero,Estatal,Rural,,
101970088590301,Santiago del Estero,Estatal,Rural,,
101970096820001,Tierra del Fuego,Estatal,Urbano,,
101980322660001,Chaco,Estatal,Rural,,
101980384490901,Santa Fe,Estatal,Rural,,
101990622660001,Chaco,Estatal,Rural,,
101990684490901,Santa Fe,Estatal,Rural,,
102000102000010,Entre Ríos,Estatal,Urbano,,
102000102034010,Entre Ríos,Estatal,Rural,,
102000102102010,Entre Ríos,Estatal,Urbano,11,7
102000115634010,Formosa,Estatal,Rural,,
102000129200010,Jujuy,Estatal,Urbano,,
102000129234010,Jujuy,Estatal,Urbano,,
102000156400010,La Rioja,Estatal,Rural,,
102000170000010,Mendoza,Privado,Urbano,14,
102000170034010,Mendoza,Estatal,Rural,,
102000183600010,Misiones,Estatal,Urbano,,
102000183634010,Misiones,Estatal,Rural,,
102000197200010,Neuquén,Estatal,Rural,,
102000197234010,Neuquén,Privado,Urbano,,
102000204000102,Buenos Aires,Estatal,Urbano,70,
102000204680102,Buenos Aires,Privado,Urbano,,
102000205360102,Buenos Aires,Estatal,Urbano,,
102000205700102,Buenos Aires,Estatal,Rural,,
102000206040102,Buenos Aires,Estatal,Urbano,,
102000206380102,Buenos Aires,Privado,Urbano,,
102000206720102,Buenos Aires,Estatal,Urbano,,
102000207060102,Buenos Aires,Estatal,Urbano,,
102000207400102,Buenos Aires,Estatal,Urbano,,
102000207740102,Buenos Aires,Estatal,Urbano,,
102000209440102,Buenos Aires,Privado,Urbano,,
102000209780102,Buenos Aires,Privado,Urbano,,
102000210460102,Buenos Aires,Estatal,Rural,,
102000210800102,Buenos Aires,Estatal,Urbano,,
102000211140102,Buenos Aires,Privado,Urbano,,
102000211480102,Buenos Aires,Privado,Urbano,23,
102000224400010,Salta,Estatal,Urbano,,
102000224434010,Salta,Estatal,Rural,,
102000238000010,San Juan,Estatal,Urbano,,
102000238034010,San Juan,Estatal,Rural,,
102000251600010,San Luis,Estatal,Rural,,
102000265200010,Santa Cruz,Estatal,Rural,,
102000278800010,Santa Fe,Estatal,Urbano,,
102000278834010,Santa Fe,Estatal,Rural,,
102000278868010,Santa Fe,Estatal,Urbano,,
102000278902010,Santa Fe,Privado,Urbano,33,
102000278936010,Santa Fe,Estatal,Urbano,,
102000292434010,Santiago del Estero,Estatal,Rural,,
102000306000010,Tucumán,Privado,Urbano,,
102000306034010,Tucumán,Estatal,Rural,,
102000319600010,Tierra del Fuego,Privado,Urbano,77,
102000340000102,Catamarca,Estatal,Rural,,
102000476000102,Córdoba,Estatal,Urbano,,
102000476340102,Córdoba,Estatal,Rural,,
102000476680102,Córdoba,Estatal,Urbano,,
102000477360102,Córdoba,Estatal,Urbano,,
102000477700102,Córdoba,Estatal,Urbano,,
102000600102000,Formosa,Estatal,Rural,,
102000603102000,Formosa,Estatal,Urbano,,
102000612000102,Corrientes,Estatal,Rural,,
102000683401020,Ciudad de Buenos Aires,Estatal,Urbano,,
102000690201020,Ciudad de Buenos Aires,Estatal,Urbano,81,
102000748340102,Chaco,Privado,Urbano,,
102000748680102,Chaco,Estatal,Urbano,4,
102000884000102,Chubut,Estatal,Rural,18,33
102000986001020,Ciudad de Buenos Aires,Estatal,Urbano,102,
102003306001020,Formosa,Estatal,Rural,,
102006606001020,Formosa,Estatal,Urbano,,
102012120600102,Formosa,Estatal,Rural,,
102012120603102,Formosa,Estatal,Rural,,
102015150600102,Formosa,Estatal,Urbano,,
102021210600102,Formosa,Estatal,Urbano,106,
102027270600102,Formosa,Estatal,Urbano,,
102030600102030,Formosa,Estatal,Rural,,
102030603102030,Formosa,Estatal,Rural,,
102033306001020,Formosa,Estatal,Urbano,23,
102034115634010,Formosa,Estatal,Rural,,
102034238034010,San Juan,Estatal,Rural,,
102034251600010,San Luis,Estatal,Rural,,
